slug,display_name,one_line,intent,matchers,tags,canonical_url,markdown_url
payments,Payments and creator monetization,"Payment processors, Merchant of Record platforms, and creator monetization tools — the infrastructure that decides whether your customer actually pays.","Payments tooling for indie SaaS spans three categories that share an outcome (collect money) but differ on legal shape: payment processors (Stripe, Square, PayPal), Merchant of Record platforms (Lemon Squeezy, Paddle, Polar), and creator monetization layers (Gumroad, Polar, Beehiiv). The right pick depends on whether you sell globally (MoR helps), whether you sell to consumers (PayPal helps), and whether your audience is technical (Stripe wins on DX).",Payments and Merchant of Record|Payments processing|Payments infrastructure|Creator monetization|Creator monetization and payments|Creator monetization and Merchant of Record,payments|monetization|infrastructure,https://unlocksaas.com/category/payments,https://unlocksaas.com/category/payments/md
forms,Forms and surveys,"Form builders for SaaS marketing pages, signups, and customer feedback — Tally, Typeform, Google Forms, and the structural pricing fight between them.",Form tools for indie SaaS are a pricing-model fight as much as a feature fight. Typeform anchors the category at premium per-response pricing; Tally rebuilt the same UX with free-forever unlimited submissions; Google Forms is free for Google Workspace teams but utilitarian for public marketing surfaces. The right pick depends on whether your form lives on a public marketing page (Tally wins on aesthetic-plus-pricing) or inside a Google Workspace flow (Google Forms wins on integration).,Forms and surveys,forms|lead-capture|marketing,https://unlocksaas.com/category/forms,https://unlocksaas.com/category/forms/md
analytics,Privacy analytics,"Web analytics without the cookie banner — Plausible, Fathom, Simple Analytics, and the values fight against Google Analytics.","Privacy analytics is a values-aligned category: cookie-free, GDPR-by-construction, customer-funded analytics that replaces Google Analytics for buyers who reject ad-tech-funded tracking. Plausible and Fathom are the canonical pair; Simple Analytics and Matomo are adjacent options. For most indie SaaS in 2026, the choice is which privacy alternative, not whether to leave Google Analytics — the values trade is what determines the switch.",Privacy analytics,analytics|privacy|values-aligned,https://unlocksaas.com/category/analytics,https://unlocksaas.com/category/analytics/md
newsletter,Newsletter and creator email,"Newsletter platforms for creators and SaaS founders — Beehiiv, Substack, Kit (ConvertKit), and the publication-as-business decision.","Newsletter tools for indie SaaS split on philosophy: Substack is a publication network that takes a revenue share for cross-discovery; Beehiiv is a creator-business platform with ad network and Boost mechanics; Kit (formerly ConvertKit) is an email-marketing platform broader than newsletters. The right pick depends on whether the newsletter IS the business (Beehiiv), is one channel of a creator business (Kit), or rides a network (Substack).",Newsletter platform|Newsletter and creator email|SaaS email platform,newsletter|creator-tools|monetization,https://unlocksaas.com/category/newsletter,https://unlocksaas.com/category/newsletter/md
scheduling,Scheduling,"Calendar scheduling tools for sales calls, demos, and customer meetings — Cal.com, Calendly, and the open-source-vs-incumbent choice.","Scheduling tools for indie SaaS are functionally near-identical at the standard use case (round-robin, collective events, integrations). The choice is values-aligned: Cal.com is the open-source challenger with self-host option and generous free tier; Calendly is the closed-SaaS category default with mature integration ecosystem and brand recognition with bookers. For most indie founders, Cal.com is the better default; for enterprise-procured teams, Calendly retains the brand familiarity advantage.",Scheduling,scheduling|sales-tools|calendar,https://unlocksaas.com/category/scheduling,https://unlocksaas.com/category/scheduling/md
email-api,Email APIs and transactional email,"Transactional email infrastructure for SaaS — Resend, Postmark, SendGrid, and the modern-vs-legacy developer-experience axis.","Email API tooling for indie SaaS splits on modernity. Resend is the modern challenger with React Email integration and clean DX; Postmark is the deliverability-first incumbent with longer track record; SendGrid is the legacy enterprise platform. For new indie SaaS in 2026, Resend's DX advantage usually wins; for organizations with deep SendGrid integration or specific compliance needs, the migration cost may not justify the switch.",Email API,email|transactional|developer-tools,https://unlocksaas.com/category/email-api,https://unlocksaas.com/category/email-api/md
docs,Developer documentation,"Documentation platforms for API and developer-tool companies — Mintlify, GitBook, ReadMe, and the docs-as-marketing decision.","Documentation tools for dev-tool indie SaaS now compete on aesthetic as much as feature set. Mintlify is the modern challenger with the docs aesthetic that defines the category (Anthropic, Cursor, Resend); GitBook is the broader knowledge-platform option; ReadMe serves enterprise API platforms with metering and developer-hub features. For new API docs in 2026, Mintlify is the default; the alternatives serve specific niches.",Developer documentation,documentation|developer-tools|api-docs,https://unlocksaas.com/category/docs,https://unlocksaas.com/category/docs/md
testimonials,Testimonial collection,"Tools for collecting and displaying social proof on SaaS marketing surfaces — Senja, Testimonial.to, and the brand-removal-trigger pricing model.",Testimonial tools for indie SaaS solve a universal pain (collecting and displaying video and text testimonials without a custom build) at the same approximate price band. Senja and Testimonial.to are functionally near-identical; the choice is workflow-shape and aesthetic preference. The structural decision matters more than the brand decision: stop building testimonial display yourself and use one of the dedicated tools.,Testimonial collection,social-proof|testimonials|marketing,https://unlocksaas.com/category/testimonials,https://unlocksaas.com/category/testimonials/md
video,Screen recording and marketing video,"Tools for producing screen-recorded marketing videos and async sales pitches — Screen Studio, Tella, Loom, and the polish-vs-speed tradeoff.","Screen recording tools for indie SaaS split on polish-vs-speed. Loom optimizes for fast async team communication; Tella and Screen Studio optimize for polished marketing video. Screen Studio is the one-time-license desktop tool for solo operators; Tella is the team SaaS with subscription pricing and collaboration features. Most serious indie founders end up using both — Loom for async, one of the polished tools for marketing-page videos.",Video for SaaS sales|Screen recording for marketing video|Screen recording,video|marketing-tools|async-communication,https://unlocksaas.com/category/video,https://unlocksaas.com/category/video/md
workspace,Productivity and notes,"Workspace and knowledge tools for teams and individuals — Notion, Coda, Obsidian, and the team-versus-individual workflow split.","Workspace tools for indie SaaS split on team-versus-individual orientation. Notion is the cloud-first team workspace with databases and real-time collaboration; Coda is the database-first canvas with documents wrapped around it; Obsidian is the local-first knowledge graph for individuals building long-term notes. For team docs and wikis, Notion is the safer default; for ops-heavy teams, Coda earns its complexity; for personal knowledge work, Obsidian's local-first model wins.",Productivity and workspace|Workspace and productivity|Notes and knowledge management,workspace|productivity|knowledge-management,https://unlocksaas.com/category/workspace,https://unlocksaas.com/category/workspace/md
