record_type,slug,name_a,name_b,category,one_line,tldr,creator,homepage_url_a,homepage_url_b,tags,last_verified,canonical_url,markdown_url
funnel_teardown,tally,Tally,,Forms and surveys,Tally turns the freemium ceiling into the headline. The funnel is the price line.,"Tally's funnel leads with a single, unconditional promise: free forever, unlimited forms, unlimited submissions. That price line IS the hook, the story, and most of the offer. The lesson for indie founders: when your category is crowded, one specific structural promise on the hero converts better than a feature list.",Marie Martens and Filip Minev,https://tally.so/,,product-led-growth|freemium|category-anchor|creator-tools,2026-05-17,https://unlocksaas.com/funnel-teardown/tally,https://unlocksaas.com/funnel-teardown/tally/md
funnel_teardown,plausible,Plausible Analytics,,Privacy analytics,Plausible sells transparency as the product. Open revenue dashboards do the conversion work.,"Plausible's funnel is built around radical operational transparency: open-source code, public revenue, named founders, and a manifesto against the dominant incumbent (Google Analytics). The lesson for indie founders: a clear villain plus a clear principle plus visible proof of life converts cold privacy-leaning readers faster than feature parity ever will.",Uku Taht and Marko Saric,https://plausible.io/,,positioning|open-source|transparency|developer-tools|category-anchor,2026-05-17,https://unlocksaas.com/funnel-teardown/plausible,https://unlocksaas.com/funnel-teardown/plausible/md
funnel_teardown,lemonsqueezy,Lemon Squeezy,,Payments and Merchant of Record,"Lemon Squeezy sold a category swap (MoR), not a feature. The funnel reframes payments into compliance relief.","Lemon Squeezy's funnel never competed with Stripe on payment processing. It sold a category swap: Merchant of Record, which means the platform handles sales tax and VAT compliance on the indie founder's behalf. The lesson for indie founders: when the incumbent owns the category, your funnel must reframe the buying decision into a different category entirely.",JR Farr and team (acquired by Stripe in 2024),https://www.lemonsqueezy.com/,,category-reframe|indie-founders|payments|branding,2026-05-17,https://unlocksaas.com/funnel-teardown/lemonsqueezy,https://unlocksaas.com/funnel-teardown/lemonsqueezy/md
funnel_teardown,beehiiv,Beehiiv,,Newsletter platform,"Beehiiv positions against Substack on creator monetization, not features. The funnel sells the upgrade path.","Beehiiv's funnel does not try to out-feature Substack. It positions on the creator monetization stack (ads network, paid subscriptions, referrals, boosts) and lets the reader self-select as 'a serious creator who wants to make this a business'. The lesson: when you cannot out-feature the incumbent, out-position them on the buyer's future identity.",Tyler Denk,https://www.beehiiv.com/,,identity-positioning|value-ladder|creator-tools|monetization,2026-05-17,https://unlocksaas.com/funnel-teardown/beehiiv,https://unlocksaas.com/funnel-teardown/beehiiv/md
funnel_teardown,cal-com,Cal.com,,Scheduling,Cal.com sells the open-source alternative to Calendly. The repo IS the trust signal.,"Cal.com's funnel positions as the open-source, infinitely-extensible alternative to Calendly. The GitHub repo and self-host option are the trust assets that justify the paid hosted tier. The lesson: in a category dominated by a closed SaaS, open-source positioning is a wedge that converts the developer-adjacent buyer who could-but-will-not-build-it-themselves.",Peer Richelsen and Bailey Pumfleet,https://cal.com/,,open-source|developer-tools|alternative-to|category-anchor,2026-05-17,https://unlocksaas.com/funnel-teardown/cal-com,https://unlocksaas.com/funnel-teardown/cal-com/md
funnel_teardown,resend,Resend,,Email API,Resend sells developer experience as the differentiator in a commodity category. The funnel reads like documentation.,"Resend's funnel treats the homepage as a code sample and the docs as a sales page. By making the developer experience itself the differentiator in a category (transactional email) where the incumbent (SendGrid) is widely considered painful, Resend converts technical buyers in minutes. The lesson: developer experience is a marketing surface, and your docs are part of the funnel.",Zeno Rocha and team,https://resend.com/,,developer-tools|free-tool|documentation-as-marketing|founder-led,2026-05-17,https://unlocksaas.com/funnel-teardown/resend,https://unlocksaas.com/funnel-teardown/resend/md
funnel_teardown,mintlify,Mintlify,,Developer documentation,Mintlify made beautiful docs a category. The funnel demos itself.,"Mintlify's funnel works because the marketing site IS a Mintlify-built docs site, and so are the docs sites of every visible customer. Every page a developer reads in the category is implicit Mintlify advertising. The lesson: if your product produces a public artifact, optimize for the artifact being recognizable and traceable back to you.",Han Wang and Hahnbee Lee,https://mintlify.com/,,developer-tools|borrowed-authority|free-tier|output-as-proof,2026-05-17,https://unlocksaas.com/funnel-teardown/mintlify,https://unlocksaas.com/funnel-teardown/mintlify/md
funnel_teardown,senja,Senja,,Testimonial collection,Senja sells a problem most SaaS know they have but never name. The funnel uses its own product as the demo.,"Senja's funnel solves the problem every SaaS founder eventually hits: how to collect and display testimonials without a custom build. The marketing site is filled with testimonials collected and displayed by Senja itself, so the reader sees the output in use within seconds. The lesson: if you solve a near-universal SaaS pain, your funnel can stay short.",Wes Bos and team,https://senja.io/,,universal-pain|product-as-marketing|free-tier|social-proof,2026-05-17,https://unlocksaas.com/funnel-teardown/senja,https://unlocksaas.com/funnel-teardown/senja/md
funnel_teardown,tella,Tella,,Video for SaaS sales,Tella turned async sales video into a product category. The funnel runs on the output.,"Tella's funnel relies on the fact that Tella-produced sales videos look different from Loom-produced ones, so every shared Tella video on the public web is implicit advertising. The lesson: pick the visible-output category and design the output to be recognizable.",Tella team,https://www.tella.tv/,,visible-output|founder-led|video|free-tier,2026-05-17,https://unlocksaas.com/funnel-teardown/tella,https://unlocksaas.com/funnel-teardown/tella/md
funnel_teardown,loops,Loops,,SaaS email platform,Loops sells the SaaS-specific email job. The funnel ignores marketers and talks to founders.,"Loops positions explicitly for SaaS founders rather than for marketers, which is the inverse of how Mailchimp, ConvertKit, and Klaviyo position. The funnel uses SaaS-native vocabulary (loops, transactional, lifecycle, audience segments by Stripe events), so a founder reading the homepage feels seen in a way generic email platforms do not allow. The lesson: name your buyer by their job title in the hero copy.",Chris Frantz and team,https://loops.so/,,named-buyer|bundling|founder-led|saas-tooling,2026-05-17,https://unlocksaas.com/funnel-teardown/loops,https://unlocksaas.com/funnel-teardown/loops/md
