slug,display_name,creator,category,one_line,tldr,what_they_sell,who_for,pricing_note,hook_pattern,hook_analysis,story_pattern,story_analysis,offer_pattern,offer_analysis,whats_working,what_to_adapt,what_to_avoid,brunson_hook,brunson_story,brunson_offer,brunson_value_ladder_tier,tags,homepage_url,last_verified,canonical_url,markdown_url
tally,Tally,Marie Martens and Filip Minev,Forms and surveys,Tally turns the freemium ceiling into the headline. The funnel is the price line.,"Tally's funnel leads with a single, unconditional promise: free forever, unlimited forms, unlimited submissions. That price line IS the hook, the story, and most of the offer. The lesson for indie founders: when your category is crowded, one specific structural promise on the hero converts better than a feature list.","A free-tier-first forms and surveys product, with a paid Pro tier for white-label, file uploads, and advanced logic.","Creators, indie founders, and small teams who want a Typeform-quality form without a per-response paywall.",Free tier with unlimited forms and submissions. Pro tier sits in the low-double-digits per month range (verified 2026-05-17).,Structural promise as hero,"The hero communicates one structural difference from the dominant incumbent (Typeform) and lets that difference do the heavy lifting. There is no metaphor and no founder narrative on the first scroll. The implicit argument is: if you already know the category, you know what 'unlimited' is worth, and you do not need more copy.","Show, do not tell","Story is told through live form examples and the in-product trial flow, not through a written narrative. The reader is funnelled into building a form within two clicks of the homepage. The proof is the build experience itself, which removes any need to claim ease of use in copy.",Price ladder where the floor is the offer,"The free tier is not a trial. It is the offer. The paid tier is a small upsell for users who already shipped a form and discovered which Pro feature they want. This inverts the standard SaaS funnel: instead of leading with a paid plan and discounting, Tally leads with the free plan and lets usage expose the paid tier's value.","One price line replaces an entire features section above the fold.|Category-anchor positioning (against Typeform) makes the differentiator legible to a cold reader in one second.|The free tier carries no submission cap, which is the single objection most indie founders have to other form tools.|Product-led growth: the form-build flow is the demo, the demo is the trial, and the trial is the signup.|Public template gallery doubles as long-tail SEO and as social proof for use cases.","Lead the hero with the one structural promise that beats your category leader. Not three. Not a list. One.|If your product is a tool, make the demo BE the homepage. Do not gate the experience behind a video.|Use the free tier to remove the specific objection your competitors charge for. Not a generic free tier.",Do not copy the no-narrative approach if your product is not in a category the reader already understands. You need a story when the category is unfamiliar.|Do not lead with free if your unit economics cannot support it. Tally has venture funding and a long horizon.,"Category anchor plus a single structural promise (free forever, unlimited).","Product-as-demo: the homepage IS the trial, so the story is experienced rather than read.",Inverted price ladder: the floor (free) is the offer; paid is a usage-driven upsell.,"Front-end lead funnel (free tier as bait, paid tier as the next rung).",product-led-growth|freemium|category-anchor|creator-tools,https://tally.so/,2026-05-17,https://unlocksaas.com/funnel-teardown/tally,https://unlocksaas.com/funnel-teardown/tally/md
plausible,Plausible Analytics,Uku Taht and Marko Saric,Privacy analytics,Plausible sells transparency as the product. Open revenue dashboards do the conversion work.,"Plausible's funnel is built around radical operational transparency: open-source code, public revenue, named founders, and a manifesto against the dominant incumbent (Google Analytics). The lesson for indie founders: a clear villain plus a clear principle plus visible proof of life converts cold privacy-leaning readers faster than feature parity ever will.","A privacy-focused, cookie-free, lightweight web analytics SaaS positioned as the ethical alternative to Google Analytics.","Indie founders, small SaaS, and privacy-leaning teams in the EU and beyond who do not want to deal with cookie banners or GDPR overhead.",Volume-tiered subscription starting low for hobby sites and scaling with pageviews. Self-hostable for free under their license (verified 2026-05-17).,Named villain plus principle,The hero names Google Analytics as the thing being replaced and frames the replacement on a principle (privacy) rather than a feature. This converts an undecided reader into a decided one within the first paragraph by giving them a side to be on.,Operational transparency as proof,"The story is told through public artifacts: open source code on GitHub, a public revenue page, named founders writing blog posts about real failures and pivots. The reader does not need to take a marketing claim on faith because the receipts are linked.",Two-track close,"Hosted SaaS for the reader who wants the easy path, self-hosted free for the reader who wants the principled path. The dual offer removes the objection 'I will just build it myself' by handing the build-it-yourself reader a working product, betting that most will return to the hosted tier later.","A clear villain (Google Analytics) gives the reader something to be against, which is more activating than being for a feature.|Public revenue dashboard turns marketing copy into a verifiable fact.|Open-source positioning collects developer trust without the SaaS needing to be developer-led.|Named founders on every page anchor the entity to humans, which raises both LLM citation likelihood and human trust.|EU founder positioning aligns the product with the regulatory environment (GDPR, ePrivacy) without explicit fear-mongering.|The pricing page leads with a small-team tier, signalling that indie buyers are the target, not the afterthought.","Pick a villain. Not a competitor's quality, but a structural decision that competitor made which you reject. Then build your positioning on the rejection.|Make at least one operational fact public (revenue, MRR, signups, churn). It costs little and converts disproportionately.|Use your founder name on the marketing surface. Anonymous SaaS is a trust-shaped hole.","Do not open-source your product if you have not validated paid demand for the hosted version. Open-source is a long-horizon trust play, not a launch tactic.|Do not pick a villain you cannot back up with a real structural difference. Performative opposition is read as marketing and lowers trust.",Big enemy positioning (Brunson 'Common Enemy' identity hook) plus a principle the reader already half-believes.,Hero's Two Journeys: founders who left big-tech analytics for a principled alternative; reader is invited to make the same move.,"Two-rung Value Ladder: free self-hosted (top of funnel) and paid hosted (recurring), with the same principle running through both.",Front-end lead funnel (free self-host) plus subscription core (hosted) — same Brunson 'Two-step free plus paid' pattern.,positioning|open-source|transparency|developer-tools|category-anchor,https://plausible.io/,2026-05-17,https://unlocksaas.com/funnel-teardown/plausible,https://unlocksaas.com/funnel-teardown/plausible/md
lemonsqueezy,Lemon Squeezy,JR Farr and team (acquired by Stripe in 2024),Payments and Merchant of Record,"Lemon Squeezy sold a category swap (MoR), not a feature. The funnel reframes payments into compliance relief.","Lemon Squeezy's funnel never competed with Stripe on payment processing. It sold a category swap: Merchant of Record, which means the platform handles sales tax and VAT compliance on the indie founder's behalf. The lesson for indie founders: when the incumbent owns the category, your funnel must reframe the buying decision into a different category entirely.","A Merchant of Record payments platform for digital products and SaaS, where the platform legally sells to the customer and handles global tax compliance.","Indie founders, solo SaaS operators, and small teams selling digital products globally who do not want to register for VAT in every jurisdiction.","Percentage-plus-fixed-fee per transaction, with the MoR service included. Higher per-transaction cost than raw Stripe in exchange for compliance offload (verified 2026-05-17).",Category reframe,"The hero does not say 'cheaper than Stripe' or 'easier than Paddle'. It says 'we sell on your behalf', which moves the buying decision from payment-processor evaluation to compliance evaluation. The reader who lands the reframe never compares the per-transaction fee directly.",Pain narrative tied to a specific indie audience,"The funnel speaks to the specific founder who sells globally and has hit the first VAT letter or sales-tax registration prompt. Story carries an emotional weight that pure feature copy cannot, because the reader has felt the pain.",Bundled compliance plus tooling,"Pricing bundles checkout, subscriptions, licensing, customer portal, and global tax compliance into one fee. The bundle hides the per-feature comparison and lets the buyer evaluate on outcome (compliance handled) rather than parts.","Category reframe (MoR) escapes the Stripe-feature shootout entirely.|Branded as 'Lemon Squeezy' with playful design, which differentiates against the deliberately-boring infrastructure aesthetic of Stripe.|Indie-founder testimonials on the homepage, not enterprise logos.|Pricing page front-loads what is included rather than the percentage rate, which delays the comparison shopping until after value is communicated.|Self-serve onboarding with no sales call required for the indie buyer, matching how indie founders prefer to buy.","If you cannot win the category your competitor owns, do not enter that category. Reframe the buying decision into one where you ARE the category.|Bundle features so the buyer evaluates on outcome, not part-by-part comparison.|Use a distinct visual identity if your category is dominated by 'serious infrastructure' aesthetics. Indie buyers respond to personality.",Do not adopt the playful brand if your category buyer expects gravitas (e.g. enterprise security tooling). Match the buying mood.|Do not bundle features you cannot deliver well. Lemon Squeezy could bundle because each feature was production-grade.,"New Opportunity (Brunson Expert Secrets) — the reader is not buying a better payment processor, they are stepping into a new category (MoR) that solves a different problem.",Pain-led story aimed at the specific indie founder who hit the global-tax wall.,"Bundled outcome offer — compliance plus checkout plus subscriptions priced as one outcome, not a feature list.",Unboxing funnel (transactional core) with sticky subscription mechanics on top.,category-reframe|indie-founders|payments|branding,https://www.lemonsqueezy.com/,2026-05-17,https://unlocksaas.com/funnel-teardown/lemonsqueezy,https://unlocksaas.com/funnel-teardown/lemonsqueezy/md
beehiiv,Beehiiv,Tyler Denk,Newsletter platform,"Beehiiv positions against Substack on creator monetization, not features. The funnel sells the upgrade path.","Beehiiv's funnel does not try to out-feature Substack. It positions on the creator monetization stack (ads network, paid subscriptions, referrals, boosts) and lets the reader self-select as 'a serious creator who wants to make this a business'. The lesson: when you cannot out-feature the incumbent, out-position them on the buyer's future identity.","A newsletter platform with built-in ad network, paid subscriptions, referral mechanics, and Boost network for paid recommendations.","Newsletter creators who want to treat the newsletter as a business with multiple revenue streams, not as a personal-essay channel.",Free tier with ad-network monetization unlocked at certain thresholds. Paid plans scale with subscriber count (verified 2026-05-17).,Future-identity positioning,The hero appeals to who the reader wants to BE (a creator running a real newsletter business) rather than what the platform does. The reader who lands the identity does not comparison-shop on features.,Creator-success showcase,"The story is told through specific creator case studies with named newsletters and stated revenue outcomes. Brunson Hard-Rule applies: only use named, opt-in case studies; do not fabricate. Beehiiv does this well and the funnel benefits.",Monetization stack as the upsell ladder,"Each monetization feature (ad network, paid subscriptions, boosts) is positioned as a future-state benefit that grows with the creator. The reader signs up for a free newsletter platform and is then walked up the monetization ladder as the audience grows. The product itself IS the value ladder.","Future-identity hook lets the reader buy the version of themselves they want to become.|Named creator case studies with stated revenue are the strongest social proof available short of public revenue.|Monetization stack creates a natural upgrade path baked into product usage, not into pricing pages.|Boost network is a sideways acquisition channel: creators acquire each other's subscribers, paid by Beehiiv.|Aggressive content marketing (newsletter business case studies, creator playbooks) targets the same long-tail SEO their buyers search.","Position your product as the platform for who your buyer wants to become, not the tool for what they currently do.|If you can credibly stack monetization or outcomes inside the product, that stack is your value ladder.|Publish case studies with named users and specific outcomes. Anonymous testimonials are weaker than no testimonials.","Do not promise monetization features before they exist. Beehiiv built the ad network before they marketed it; reverse order destroys trust.|Do not lead with future-identity if your product cannot help most users reach that identity. The promise must be realistic for the median buyer, not the top 1%.","Identity hook (Brunson Expert Secrets) — the reader is sold on being a creator-business, not on a newsletter tool.","Hero's Journey applied to creators: a person started small, used the platform, built a business; the reader is invited to follow the same arc.",Value Ladder built into the product itself: free newsletter (front-end) -> paid subscribers (upsell) -> ad network (upsell) -> boosts (upsell).,Full Value Ladder embedded inside one product — Brunson 'continuity programs' applied to a SaaS subscription.,identity-positioning|value-ladder|creator-tools|monetization,https://www.beehiiv.com/,2026-05-17,https://unlocksaas.com/funnel-teardown/beehiiv,https://unlocksaas.com/funnel-teardown/beehiiv/md
cal-com,Cal.com,Peer Richelsen and Bailey Pumfleet,Scheduling,Cal.com sells the open-source alternative to Calendly. The repo IS the trust signal.,"Cal.com's funnel positions as the open-source, infinitely-extensible alternative to Calendly. The GitHub repo and self-host option are the trust assets that justify the paid hosted tier. The lesson: in a category dominated by a closed SaaS, open-source positioning is a wedge that converts the developer-adjacent buyer who could-but-will-not-build-it-themselves.","An open-source scheduling platform with hosted SaaS, self-host option, and an enterprise tier with white-label and embed features.","Developers, agencies, and teams who want Calendly's UX with extensibility, privacy control, or white-label options.",Generous free hosted tier. Paid tiers per user for teams and white-label. Self-host is free under AGPL (verified 2026-05-17).,Open-source as differentiator,"The hero frames the product as the open-source version of a SaaS the reader already knows. This compresses two messages into one: what we do (scheduling, like Calendly) and why we are different (open, extensible, self-hostable).",Developer-credibility through artifacts,"The repo on GitHub is the story. Star count, contributor count, and the integration directory are the proof that this is real software, not a marketing claim. The reader who values code-as-truth lands fast.",Hosted plus self-host two-track,"Same dual-track as Plausible: hosted SaaS for the easy buyer, self-host for the principled buyer. Most self-hosters return to the hosted tier when the maintenance cost exceeds the subscription cost. The two-track offer captures both buyer types without forcing a choice at first contact.","Open-source as a wedge in a closed-SaaS-dominated category gives a clear technical differentiator.|GitHub star count and contributor activity function as live social proof updated daily.|App directory positions Cal.com as a platform, not a tool, expanding the addressable use case range.|Founder-led marketing on Twitter (and elsewhere) anchors the entity to identifiable humans.|The hosted tier is generous enough to remove the 'too expensive vs Calendly' objection without requiring self-host.","If you can credibly open-source any meaningful part of your stack, the GitHub repo becomes a permanent free trust signal.|Position against a category leader by name when the leader's structural decision (closed, paid-only, US-only, etc.) is the wedge.|Use founder-on-Twitter as a marketing surface. It is high-trust, low-cost, and compounds over time.","Do not open-source if your business model depends on proprietary IP that competitors could trivially copy and undercut. Cal.com's moat is hosting and ecosystem, which open source does not threaten.|Do not promise extensibility before the integration directory exists. The platform claim must be backed by a real integration count.",Open-source alternative-to positioning (Brunson 'better mousetrap' rejected; this is a 'new vehicle' move).,"Hero's Journey via the repo: founders building in public, contributors joining, the reader is invited to either use the hosted or self-host the same thing.",Two-rung Value Ladder: free hosted (front-end) plus paid team tier (subscription core) plus self-host (escape hatch).,Front-end lead funnel (free hosted) plus subscription core (paid teams).,open-source|developer-tools|alternative-to|category-anchor,https://cal.com/,2026-05-17,https://unlocksaas.com/funnel-teardown/cal-com,https://unlocksaas.com/funnel-teardown/cal-com/md
resend,Resend,Zeno Rocha and team,Email API,Resend sells developer experience as the differentiator in a commodity category. The funnel reads like documentation.,"Resend's funnel treats the homepage as a code sample and the docs as a sales page. By making the developer experience itself the differentiator in a category (transactional email) where the incumbent (SendGrid) is widely considered painful, Resend converts technical buyers in minutes. The lesson: developer experience is a marketing surface, and your docs are part of the funnel.","A developer-first transactional email API with React Email integration, simple SDK, and a clean modern dashboard.",Developers and indie SaaS founders who want to send transactional email without the legacy-platform tax of SendGrid or Mailgun.,Free tier for low volume. Paid tiers scale with send volume (verified 2026-05-17).,Code as hero,"The homepage shows code, not testimonials. A developer who can read the snippet has effectively completed a demo before scrolling. This is the equivalent of a SaaS landing page where the hero IS the product window.",Pain-of-the-incumbent narrative implied through ease,The story does not need to be told explicitly. The developer reader has used SendGrid and remembers the pain. Resend's clean dashboard screenshots and three-line code samples implicitly say 'remember how painful that was; this is the alternative' without naming the competitor.,Free-tier-led plus React Email ecosystem,Free tier is generous enough that most indie SaaS can ship in production on it. React Email (open-source library for building emails) extends Resend's surface area into a free tool that converts independent of the paid product. The free tool IS the marketing.,"Code-first hero converts developer readers in seconds.|Clean modern design contrasts sharply with the dated UX of incumbents, doing positioning work without copy.|React Email open-source project is a top-of-funnel acquisition asset that funnels back to Resend.|Aggressive founder-led marketing on Twitter from Zeno Rocha builds entity recognition.|Documentation is treated as a first-class marketing surface, not an afterthought.|Status page and uptime transparency are linked from the marketing surface, addressing the reliability objection upfront.","If your buyer is technical, lead the hero with the artifact they will actually evaluate (code, query, output) and not with marketing copy.|Build a free open-source tool adjacent to your paid product that pulls in your exact buyer.|Treat your documentation as part of the funnel. Bad docs are a leak.",Do not lead with code if your buyer cannot read it. A code hero is illegible to a non-technical buyer and loses them.|Do not skip status page transparency in a category (infrastructure) where reliability is the table-stakes objection.,Vehicle-change hook: same outcome (transactional email) via a new vehicle (clean modern DX). Brunson 'better-mousetrap' done legitimately because the DX gap is real.,Implied pain story aimed at developers who have already lived the incumbent's pain; the funnel does not need to retell it.,"Front-end free tier plus React Email free tool, with paid send-volume tiers as the natural upgrade.",Front-end lead funnel (free tier and React Email) plus usage-based subscription core.,developer-tools|free-tool|documentation-as-marketing|founder-led,https://resend.com/,2026-05-17,https://unlocksaas.com/funnel-teardown/resend,https://unlocksaas.com/funnel-teardown/resend/md
mintlify,Mintlify,Han Wang and Hahnbee Lee,Developer documentation,Mintlify made beautiful docs a category. The funnel demos itself.,"Mintlify's funnel works because the marketing site IS a Mintlify-built docs site, and so are the docs sites of every visible customer. Every page a developer reads in the category is implicit Mintlify advertising. The lesson: if your product produces a public artifact, optimize for the artifact being recognizable and traceable back to you.","A documentation-as-code platform that turns Markdown plus components into a polished docs site with search, analytics, and AI-assisted answers.","Developer-tool SaaS, API companies, and platforms that want documentation that looks intentional rather than templated.",Free tier for open-source projects. Paid tiers per editor seat scale into team and enterprise (verified 2026-05-17).,Visible customer aesthetic,"The hero is supported by a logo bar of well-known developer-tool companies whose docs run on Mintlify. The recognition is immediate for the target reader: 'their docs look like Anthropic's docs, and I want my docs to look like Anthropic's docs'.",Output-as-proof,The marketing site itself runs on Mintlify. There is no story to tell because the reader is already inside the proof. Every interaction with the marketing site is a product demo by accident.,Free for open source plus seat-based for teams,Free for open-source projects acquires the developer credibility flywheel; seat-based pricing for teams captures the paid revenue. The free tier produces the visible customer aesthetic that sells the paid tier.,"Marketing site is a product demo, eliminating the gap between claim and proof.|Logo bar of well-known dev-tool customers carries the trust load that copy would otherwise have to.|Free tier for open source projects floods the visible-customer surface, which is the primary acquisition channel.|Documentation as a marketing channel: every customer docs site is a Mintlify referral.|AI-search and analytics features tap the same buyer trend (LLM-assisted everything) without overpromising.","If your product creates a public artifact, make that artifact recognizable and traceable to you. Subtle attribution, but present.|Use a free tier specifically to seed visible-customer presence in your category.|Eat your own dog food on the marketing site. If your product is good, you cannot avoid this and you should not want to.",Do not add visible attribution on paid tiers. The visible-customer flywheel is a free-tier specialty.|Do not seek a logo bar before you have logos. Empty logo grids and 'Customer logos coming soon' are conversion-killers.,Trust-by-association hook (Brunson 'Borrow authority') executed via visible customer logos in the buyer's own category.,Output-as-proof: the marketing site is the demo and the customer sites are the case studies. The story is environmental.,Free-for-OSS plus seat-based paid tier — Brunson 'two-rung Value Ladder' tuned to a developer-tool buyer.,Front-end lead funnel (OSS free) plus subscription core (paid teams).,developer-tools|borrowed-authority|free-tier|output-as-proof,https://mintlify.com/,2026-05-17,https://unlocksaas.com/funnel-teardown/mintlify,https://unlocksaas.com/funnel-teardown/mintlify/md
senja,Senja,Wes Bos and team,Testimonial collection,Senja sells a problem most SaaS know they have but never name. The funnel uses its own product as the demo.,"Senja's funnel solves the problem every SaaS founder eventually hits: how to collect and display testimonials without a custom build. The marketing site is filled with testimonials collected and displayed by Senja itself, so the reader sees the output in use within seconds. The lesson: if you solve a near-universal SaaS pain, your funnel can stay short.","A testimonial collection, video review, and social-proof display platform for SaaS, agencies, and creators.","Indie SaaS, agencies, and creators who need video and text testimonials displayed cleanly on their marketing site.",Free tier with limited features. Paid tiers per workspace scale with team size and brand customization (verified 2026-05-17).,Universal-pain naming,The hero names a pain (collecting and displaying testimonials) that nearly every SaaS founder has felt. The reader does not need a category education; they need the solution. This compresses the entire awareness-stage funnel into the hero.,Demo-by-existence,Testimonials displayed on the Senja marketing site are themselves collected via Senja. The story is told by the live walls and embed widgets the reader is currently looking at. The product is the marketing.,Free entry plus brand-customization upsell,"The free tier collects basic testimonials with Senja branding. The paid tier removes branding, adds video, and unlocks customization. The upsell trigger is when the founder is ready to put testimonials on the marketing site without the third-party logo. Behaviorally aligned with when the willingness-to-pay spikes.","Universal-pain hook removes the category-education step.|Product-as-marketing eliminates the gap between claim and demo.|Free tier with branding seeds the visible-customer attribution flywheel.|Video-first positioning lands the high-conversion testimonial format as the headline differentiator.|Integration with major marketing surfaces (Webflow, WordPress, custom code) removes the technical objection.","If you solve a near-universal pain in your buyer's category, lead the hero with the pain, not the feature.|Use your own product to generate the proof assets you display. Eating your own dog food is also free marketing.|Place the paid-tier trigger at the moment the buyer's willingness-to-pay structurally spikes (here: putting testimonials on the marketing site).","Do not lead with a universal-pain hook if your buyer does not yet recognize the pain. You will need a story to teach the pain first.|Do not free-tier features your paid tier depends on. The paid trigger has to be a real value gap, not an annoyance.",Pain-named hook (Brunson 'amplify the pain') executed in a single line because the pain is universally felt.,"Demo-by-existence: the proof is the page itself, not narrative.",Free-with-branding plus brand-removal paid trigger — Brunson 'Strategic give plus structural upsell'.,Front-end lead funnel (free with brand) plus subscription core (paid for white-label).,universal-pain|product-as-marketing|free-tier|social-proof,https://senja.io/,2026-05-17,https://unlocksaas.com/funnel-teardown/senja,https://unlocksaas.com/funnel-teardown/senja/md
tella,Tella,Tella team,Video for SaaS sales,Tella turned async sales video into a product category. The funnel runs on the output.,"Tella's funnel relies on the fact that Tella-produced sales videos look different from Loom-produced ones, so every shared Tella video on the public web is implicit advertising. The lesson: pick the visible-output category and design the output to be recognizable.","A browser-based screen and webcam recording tool optimized for polished marketing videos, async sales pitches, and product demos.","SaaS founders, sales teams, and creators who need video that looks intentional rather than utilitarian.","Free tier with watermark. Paid tiers per editor for branded video, advanced editing, and team features (verified 2026-05-17).",Aesthetic-differentiated output,"Tella videos have a recognizable visual signature (clean backgrounds, layered camera and screen, branded color overlays). A reader who watches a Tella video on someone else's site recognizes the tool by the aesthetic alone, which is the strongest free distribution channel that exists.",Founder-demos-the-product as story,"The story is told through founder-recorded demos embedded on the marketing site, which are themselves Tella videos. The recursion makes the demo unfakeable.",Free-with-watermark plus brand-removal paid trigger,Same structural move as Senja and Tally: free tier with attribution feeds the visible-output flywheel; paid tier removes attribution when the founder is ready to publish to their marketing site without the third-party brand.,"Distinctive output aesthetic makes Tella videos recognizable, turning every shared video into an ad.|Founder-recorded marketing videos are also product demos, so the proof is in the marketing.|Free tier with watermark seeds visible-output presence on social and in shared videos.|Built-in templates produce on-brand output even for non-designer users, raising the floor of what the average customer ships.|Async sales positioning targets a high-willingness-to-pay buyer (sales teams) without abandoning the indie creator market.","If your product produces a visible output, design the output so a third party can identify the tool. Subtle, but discoverable.|Record your own marketing videos with your own product. Eating dog food is a category-truth check.|Raise the floor of what an average user ships. Power-user output is a niche; average-user output is the public face.","Do not over-brand the output to the point where customers fight to remove it. The attribution should be a soft signal, not a billboard.|Do not assume the visible-output flywheel works for non-shareable categories. Internal SaaS produces no public artifacts and the flywheel stalls.",Vehicle change (better video output for sales) plus identity positioning ('this is what a serious async pitch looks like').,Founder demos itself; the marketing video IS the product capability statement.,Free-with-watermark plus brand-removal upsell — same Brunson structural move as the Tally / Senja pattern.,Front-end lead funnel (free with watermark) plus per-editor subscription core.,visible-output|founder-led|video|free-tier,https://www.tella.tv/,2026-05-17,https://unlocksaas.com/funnel-teardown/tella,https://unlocksaas.com/funnel-teardown/tella/md
loops,Loops,Chris Frantz and team,SaaS email platform,Loops sells the SaaS-specific email job. The funnel ignores marketers and talks to founders.,"Loops positions explicitly for SaaS founders rather than for marketers, which is the inverse of how Mailchimp, ConvertKit, and Klaviyo position. The funnel uses SaaS-native vocabulary (loops, transactional, lifecycle, audience segments by Stripe events), so a founder reading the homepage feels seen in a way generic email platforms do not allow. The lesson: name your buyer by their job title in the hero copy.","An email platform built specifically for SaaS, combining transactional sends, marketing campaigns, and lifecycle loops in one tool.",SaaS founders and growth teams who want one email platform instead of separate transactional and marketing stacks.,Free tier for low subscriber counts. Paid tiers scale by audience size (verified 2026-05-17).,Buyer-by-job-title naming,"The hero names the buyer (SaaS founder, SaaS company) explicitly and refuses to position to anyone else. A SaaS founder reading the page feels addressed; a generic marketer reading the page self-selects out, which is the correct funnel behavior.",Founder-led with category jargon,"The marketing copy uses SaaS-native vocabulary (loops, lifecycle, transactional, segments by Stripe event) without translation. This signals 'we understand your stack' faster than any 'built for SaaS' tag line.",All-in-one priced like a single SaaS tool,"Bundling transactional and marketing email at one price escapes the per-feature comparison against Postmark plus Mailchimp. The bundle pricing is the differentiator, not the feature parity.","Buyer-by-job-title positioning makes the page feel custom-built for the reader.|SaaS-native vocabulary is its own credentialing signal; founders trust the writer who speaks the language.|Bundled transactional plus marketing collapses two purchasing decisions into one.|Founder-led marketing on Twitter from Chris Frantz drives consistent top-of-funnel.|Design language is deliberately modern (similar to Linear, Resend), signalling category membership among the developer-adjacent SaaS tooling cluster.","Name your buyer by job title in the hero. Generic 'for teams' copy converts no one.|Speak the buyer's category vocabulary without translation. Translation reads as outsider.|Bundle features your buyer currently purchases separately, and price the bundle below the sum of the parts.",Do not name a buyer you cannot serve well. Naming SaaS founders means the product must actually work better for SaaS founders than for marketers.|Do not bundle features you do not yet ship at production quality. The bundle promise is fragile until each part is verifiable.,Dream Customer naming (Brunson DotCom Secrets Secret 1) in the hero itself — the buyer self-identifies in the first sentence.,Category-language story: the copy proves the company understands the buyer's world before asking for the sale.,Bundled outcome offer at a price below the part sum — Brunson 'Stack' move applied to a SaaS product.,Front-end lead funnel (free tier) plus subscription core (paid tiers scaled by audience size).,named-buyer|bundling|founder-led|saas-tooling,https://loops.so/,2026-05-17,https://unlocksaas.com/funnel-teardown/loops,https://unlocksaas.com/funnel-teardown/loops/md
