slug,display_name,creator,category,one_line,tldr,what_they_sell,who_for,pricing_model,payment_frequency,free_trial_behavior,tier_count,anchor_pattern,anchor_analysis,upgrade_trigger_pattern,upgrade_trigger_analysis,whats_working,what_to_adapt,what_to_avoid,brunson_stack,brunson_value_ladder,brunson_decoy_or_anchor,brunson_payment_mechanics,tags,homepage_url,pricing_page_url,last_verified,canonical_url,markdown_url
tally,Tally,Marie Martens and Filip Minev,Forms and surveys,"Tally prices on a structural promise (free forever, unlimited) and lets the brand-removal pain handle the upgrade.","Tally's pricing page is a single structural promise (free forever, unlimited forms, unlimited submissions) plus a paid tier that removes the Tally brand and unlocks logic. The free tier is not a trial; it IS the offer. The lesson for indie founders: when the incumbent monetizes per-submission, leading with unlimited becomes the entire pricing strategy.",A forms and surveys product that competes against Typeform on price model.,"Creators, indie founders, small teams who refuse per-submission paywalls.",Freemium with structural anchor on free tier,Monthly subscription with annual discount available,No trial because the free tier IS production-grade for most use cases.,3,Free as anchor,"The free tier is the page's center of gravity. Pro and Business exist for buyers who self-select into the upgrade. The anchor strategy is inverted from typical SaaS: instead of pricing the highest tier first to make the middle tier look reasonable, Tally prices the floor first and lets the paid tiers feel optional rather than necessary.",Brand removal at marketing-surface deployment,"The free tier includes a small Tally attribution. The upgrade trigger fires when the founder is ready to publish a form on their public marketing site without third-party branding. This is a behaviorally-aligned trigger: willingness-to-pay spikes precisely when the founder wants to look professional, not before.","Free-forever-unlimited compresses the entire pricing strategy into one promise readers retain after closing the tab.|Brand removal as upgrade trigger aligns the charge to the moment the buyer's willingness-to-pay structurally rises.|Tier names (Free, Pro, Business) are category-conventional, which removes friction in evaluation.|Annual discount captures the small percentage of buyers ready to commit yearly without forcing the choice on monthly buyers.|Pricing page lists what each tier includes positively, not what is missing — avoids the loss-aversion trap.","Pick one structural pricing promise the incumbent cannot match without breaking their model. Then lead with it.|Place the upgrade trigger at the moment willingness-to-pay structurally spikes, not at an arbitrary feature count.|Use category-conventional tier names. Cute names (Sapling, Sprout, Tree) add friction; Free, Pro, Business does not.","Do not lead with free-forever-unlimited if your marginal cost per user is meaningfully positive. The model only works when free users cost you near zero.|Do not assume the brand-removal trigger works for non-public outputs. If your buyer does not publish your tool's output, the upgrade never fires.","Inverted stack — value is concentrated on the free tier, paid tiers are usage extensions.",Two-rung ladder: free (lead) plus paid (subscription core). No high-ticket back-end.,"Free-as-anchor — the page's price gravity is the floor, not the ceiling.",Monthly subscription with optional annual discount; no usage metering.,freemium|brand-removal-trigger|two-rung-ladder|category-anchor,https://tally.so/,https://tally.so/pricing,2026-05-17,https://unlocksaas.com/pricing-teardown/tally,https://unlocksaas.com/pricing-teardown/tally/md
lemonsqueezy,Lemon Squeezy,JR Farr and team (acquired by Stripe in 2024),Payments and Merchant of Record,Lemon Squeezy collapses MoR plus checkout plus subscriptions into one percentage. The bundle hides the per-feature comparison.,"Lemon Squeezy prices as a single percentage-plus-fixed-fee per transaction with Merchant of Record service included. There is no per-feature pricing page to compare against Stripe. The lesson: when you bundle multiple SaaS categories at one price, the buyer evaluates on outcome (compliance handled) rather than parts.",Merchant of Record payments platform for digital products and SaaS.,Indie founders selling globally who do not want to register for VAT or sales tax in every jurisdiction.,"Single transaction-based percentage plus fixed fee, MoR bundled",Per-transaction; no monthly base fee,No subscription to trial — pricing is purely transactional. Account is free to create; you pay when you collect.,1,Single-line anchor,Pricing is one line. There is no anchor tier because there are no tiers. The page is structured so the reader cannot comparison-shop against Stripe's transaction fee in isolation — they must evaluate the bundled outcome (compliance + checkout + subscriptions) against the unbundled Stripe + Paddle Tax stack.,First international sale,There is no upgrade trigger in the traditional sense. The structural upgrade trigger that drives a founder TO Lemon Squeezy is the first international sale that exposes them to VAT or sales-tax registration. Lemon Squeezy's pricing model is calibrated to be cheaper than the time-cost of handling that compliance themselves.,"Single price line removes the per-feature comparison shootout against Stripe.|Bundled MoR service captures buyers at the compliance pain spike, not at the payment-processor evaluation.|No subscription base fee aligns the platform's revenue with the customer's revenue, which lowers commitment friction.|Pricing page lists what is included extensively (15+ features at one price), inflating the perceived bundle value.|No annual commitment requirement, no minimum volume, fits the indie buyer's distrust of long-term contracts.","If you sit in a category dominated by a price-leader incumbent, bundle compatible services at one price to escape the per-feature shootout.|Align your pricing with the customer's revenue when possible. Per-transaction or per-result pricing has lower commitment friction than monthly subscription.|List what is included extensively on the pricing page. A long bundle list inflates perceived value before the price is processed.","Do not bundle features you do not ship at production quality. The bundle promise is fragile until each part is verifiable.|Do not use percentage-based pricing if your buyer's volume is unpredictable or low. The buyer's mental math fails and they overestimate their cost.|Do not adopt MoR positioning without the legal and operational capacity to back it. MoR is a regulatory commitment, not a marketing one.","Bundle stack — one price, 15+ included items listed individually to inflate perceived value.","Single transactional rung (no front-end free, no back-end high-ticket). Per-transaction recurring becomes the subscription dynamic.",Single-line pricing eliminates anchor mechanics; the entire page is the anchor.,"Pure transactional. No monthly base, no annual commitment. Aligned to customer revenue.",bundle-pricing|transactional|single-line|category-reframe,https://www.lemonsqueezy.com/,https://www.lemonsqueezy.com/pricing,2026-05-17,https://unlocksaas.com/pricing-teardown/lemonsqueezy,https://unlocksaas.com/pricing-teardown/lemonsqueezy/md
notion,Notion,"Ivan Zhao, Simon Last and team",Productivity and workspace,"Notion uses a generous personal-free tier as the viral acquisition channel, then ladders teams up through workspace and AI tiers.","Notion's pricing structure is built around a personal-free tier that is good enough for indie use but creates friction at the team-collaboration boundary. The Team tier (~$10/seat/mo) is the trigger; Business and Enterprise climb from there. AI is priced as an add-on rather than a tier, which lets Notion add new revenue without disturbing the seat ladder. The lesson: personal-free can drive team-paid if the friction sits at the right boundary.","A workspace product combining notes, docs, wikis, databases, and project management in one canvas.","Individuals, small teams, and growing companies who want a flexible workspace instead of separate tools per use case.",Per-seat tiered subscription with personal-free entry and AI add-on,"Monthly or annual, with annual discount",No trial on paid tiers — the Free tier IS the trial. Users self-upgrade when collaboration friction emerges.,5,Business tier as anchor,Business at approximately $18/seat/mo anchors the page. Plus at approximately $10/seat/mo reads as the reasonable team starting point by comparison. Enterprise is the conversation-starter for anyone who recoils at the published Business price. The anchor is doing two jobs: making Plus look affordable AND making Enterprise feel like a custom call.,Team-collaboration boundary,"Free tier supports individuals plus limited guest sharing. The trigger fires when the team grows past the guest limit or when a coworker needs full editing rights, not just view access. The trigger is structural to how teams form, not feature-based — which is why the conversion rate from personal-free to team-paid is the strongest part of Notion's funnel.","Personal-free tier is good enough for real individual use, which seeds viral adoption inside companies.|Team-collaboration boundary as upgrade trigger captures conversion at the moment a personal tool becomes a team tool.|AI priced as add-on rather than tier lets Notion add revenue without disturbing seat-ladder psychology.|Business tier anchors page; Plus reads as reasonable by comparison; Enterprise sits ready for procurement.|Annual discount captures price-sensitive small teams; monthly option captures hesitant teams.|Custom Enterprise tier handles the largest deals without exposing the price to seat-counting competitors.","If you can place the upgrade trigger at a structural boundary (team formation, new use case, scale threshold), the trigger fires without you having to engineer it.|Price new feature categories as add-ons rather than new tiers when they cut across your existing seat structure.|Use a custom Enterprise tier to handle deals that would otherwise force you to publish a price you do not want competitors to see.",Do not launch a personal-free tier if your unit economics do not support it. Notion has venture funding and a long horizon.|Do not adopt seat-based pricing if your product is used by individuals on a team where each seat does not get clear individual value.|Do not bury the upgrade trigger in feature gates. Structural triggers (team formation) convert better than feature gates (limit hit).,Tiered stack with progressive feature additions per rung; Business tier is the visual anchor.,Four-rung ladder (Free → Plus → Business → Enterprise) plus add-on (AI) — full Value Ladder shape.,Business tier as anchor; Plus as the reasonable middle; Enterprise as the procurement door.,Per-seat monthly or annual with annual discount; add-ons priced per-seat orthogonally to tier.,per-seat|freemium|team-trigger|anchor-tier|add-on-pricing,https://www.notion.so/,https://www.notion.so/pricing,2026-05-17,https://unlocksaas.com/pricing-teardown/notion,https://unlocksaas.com/pricing-teardown/notion/md
linear,Linear,"Karri Saarinen, Tuomas Artman, Jori Lallo",Project management for software teams,"Linear's pricing reads like a quiet refusal to compete on price. Two paid tiers, no enterprise theatrics, premium positioning baked into the simplicity.","Linear's pricing is minimalist: Free, Basic, Business, plus a custom Enterprise. The page itself is shorter than most competitors' single-tier descriptions. The simplicity is a positioning move: Linear is for design-conscious teams that resent over-complicated tools, including over-complicated pricing pages. The lesson: pricing-page minimalism can BE the positioning.",Issue tracking and project management built for high-velocity software teams.,Software engineering teams from startups to scale-ups who reject Jira's complexity.,Per-seat tiered subscription with minimalist tier structure,"Monthly or annual, with annual discount",Free tier is the trial; paid tiers have no separate trial period required for evaluation.,4,Restraint as anchor,There is no anchor tier in the traditional sense because there is no tier designed to look expensive. The Business tier at approximately $14/user/mo is the implicit center. The page's psychological anchor is its own brevity: the pricing decision feels low-stakes because the page itself feels low-stakes.,Issue-count cap plus team-feature need,"Free's 250-issue limit is the structural trigger. Beyond that, the upgrade from Basic to Business is driven by cross-team planning needs (cycles, roadmaps, sub-teams). The trigger is layered: first volume, then workflow complexity. Both triggers map to natural team growth, not arbitrary feature gates.","Page minimalism IS positioning. Linear's audience resents enterprise pricing-page theatrics, and the brevity speaks to that audience without copy.|Issue-count cap on free tier creates a structural upgrade trigger that aligns with team growth.|Business tier features (cycles, projects, roadmaps) are the specific things growing software teams actually adopt, so the upgrade trigger is feature-matched.|Enterprise tier is a single sales-contact line, no theater, which matches the audience's preference for direct dealing.|Annual discount captures price-sensitive teams without forcing the choice on the monthly buyer.","Pricing-page minimalism can BE the positioning when your audience resents tooling complexity. Brevity reads as confidence.|Use a volume cap on free tier (not a feature gate) when your buyer's volume scales with team success.|Layer upgrade triggers: volume first (mechanical), then workflow (intentional). Each tier should solve a different scaling problem.","Do not adopt minimalist pricing if your buyer needs the per-feature breakdown to justify procurement. Some audiences require the long page.|Do not skip an Enterprise tier if your audience includes companies with mandatory procurement review. The Enterprise tier exists for the procurement department, not the user.","Restrained stack — minimal feature lists per tier, trusts the buyer to recognize what is included.",Four-rung ladder (Free → Basic → Business → Enterprise) with intentional simplicity at each rung.,No decoy. Business tier sits as the implicit center. Restraint substitutes for explicit anchor mechanics.,"Per-user monthly or annual with annual discount; no usage metering, no add-ons.",per-seat|minimalism|premium-positioning|developer-tools,https://linear.app/,https://linear.app/pricing,2026-05-17,https://unlocksaas.com/pricing-teardown/linear,https://unlocksaas.com/pricing-teardown/linear/md
figma,Figma,Dylan Field and team (acquired by Adobe attempt blocked; remains independent),Design and prototyping,Figma's per-editor pricing converts viewers into a viral acquisition channel and editors into the paid revenue.,"Figma prices on a sharp split: viewers and commenters are free forever; editors pay per seat. This makes every design file shared with developers, PMs, and clients an acquisition asset, while keeping the revenue contained to actual designers. The lesson: when your product has high-multiplier viewers per editor, price the editor and free the viewer.","Collaborative design and prototyping in the browser, plus FigJam whiteboard and Slides.","Designers, product teams, agencies, and developers who collaborate on design.",Per-editor freemium with viewer-free model and tiered team plans,"Monthly or annual, with substantial annual discount",Free tier is the trial for individuals. Teams can start on the paid tier with limited free seats; full evaluation usually happens via the free tier.,4,Enterprise tier as anchor,Enterprise at approximately $75/editor/mo anchors the page. Organization at approximately $45 reads as the reasonable mid-tier for growing companies. Professional at approximately $15 reads as cheap by comparison even though it is the most-purchased tier. Triple anchoring at the top is doing the heavy lifting throughout the page.,Viewer-to-editor role change,"The trigger fires when someone with view-only access (developer, PM, client) needs to make a real edit. Most teams pay because someone on the team transitioned from observer to editor, not because a free editor hit a limit. This is a behavioral trigger driven by org structure changes, not feature gates.","Viewer-free model makes every shared file a viral acquisition asset: developers, PMs, and clients all encounter Figma at zero cost.|Per-editor pricing aligns revenue with the role that gets the most value (designers) and frees the role that drives the most discovery (viewers).|Enterprise anchor at approximately $75/editor/mo makes the Professional tier feel small even at $15/seat/mo.|FigJam priced separately within tiers allows expansion into a new use case (whiteboarding) without disturbing the core design pricing.|Annual discount is large enough to materially shift the buyer toward annual commitment, lowering churn.","If your product has high viewer-to-editor multiplier, free the viewer and price the editor. The viewers become your acquisition channel.|Use Enterprise tier pricing as the anchor even if few buyers reach that tier. Anchoring works on visible price, not on revenue mix.|Sell adjacent use cases (FigJam, Slides) within existing tiers, not as separate products. Bundle expansion captures incremental revenue without churning existing accounts.",Do not free viewers if your viewer role is the actual buyer. Per-editor pricing fails when buyers are evaluators rather than producers.|Do not price Enterprise at an anchor level if you have no real Enterprise customers. The page-credibility cost of an empty anchor is high.|Do not assume per-editor pricing works for non-collaborative tools. The multiplier model requires shared output.,Tiered stack with progressive collaboration features; Enterprise tier is the visual anchor.,Four-rung ladder with viewer-free entry rung that does not count toward seat revenue.,"Triple anchor: Enterprise at the top, Organization as the visible 'mid-market', Professional as the indie tier that looks cheap by comparison.",Per-editor (not per-user) pricing decouples value-capture from acquisition volume.,per-editor|viewer-free|triple-anchor|collaboration,https://www.figma.com/,https://www.figma.com/pricing/,2026-05-17,https://unlocksaas.com/pricing-teardown/figma,https://unlocksaas.com/pricing-teardown/figma/md
vercel,Vercel,Guillermo Rauch and team,Frontend cloud and hosting,Vercel runs a generous hobby-free tier as developer top-of-funnel and lets usage drive the upgrade to Pro and beyond.,"Vercel's pricing places Hobby as a fully-featured free tier for personal projects with strict commercial-use prohibition. Pro at approximately $20/user/mo unlocks commercial use and team features; Enterprise handles custom infrastructure. Usage overages are metered per resource, which makes the bill scale with success. The lesson: a free tier with crystal-clear commercial-use restriction converts solo developers into paid Pro accounts at exactly the moment the product earns revenue.","A frontend cloud platform that hosts Next.js, React, and other modern web apps with edge networking, serverless functions, and developer tooling.","Developers, startups, and enterprises building modern web applications, particularly those using Next.js.",Tiered subscription with per-user base plus metered usage overages,"Monthly per-user base, metered usage billed monthly",Hobby tier IS the trial. The commercial-use restriction is the structural trigger to Pro.,3,"Use-case anchor, not price anchor","The Pro tier's $20/user/mo is not designed to look reasonable next to a higher tier. The anchor is the commercial-use restriction on Hobby: any project that earns revenue must upgrade to Pro. This converts the anchor mechanic from a price-comparison nudge into a binary structural requirement, which is more reliable than psychological anchoring.",Commercial-use boundary,The trigger fires the moment a project transitions from hobby to revenue. This is a structural trigger that fires exactly when willingness-to-pay materializes (the project is now generating money) and exactly when continued use on the free tier becomes a TOS violation. Two-sided alignment.,"Commercial-use boundary as upgrade trigger converts free users at the exact moment they generate revenue.|Per-user base plus metered usage scales pricing with customer success, which lowers commitment friction.|Hobby tier is generous enough that developers ship real projects on it before committing, which builds product habit.|Pro tier price is round and memorable ($20/user/mo) rather than a comparison-shoppable odd number.|Custom Enterprise tier hides infrastructure pricing from competitors while serving the largest deals.|Usage overages metered per resource (bandwidth, function invocations, builds) so the bill maps to specific product behavior the customer can optimize.","Use a structural upgrade trigger (commercial use, team formation, scale threshold) rather than a feature gate when possible. Structural triggers fire predictably at value moments.|If your product has clear hobby vs commercial use cases, use the boundary as the free-to-paid trigger. The TOS line backs up the price line.|Meter usage per specific resource so the customer can optimize their bill, not just absorb it.",Do not free commercial use if your competitive position depends on revenue from small commercial users. Hobby-tier free works because Vercel monetizes the moment revenue starts.|Do not adopt per-user base plus usage pricing if your customer cannot predict their usage. Bill-shock is the biggest churn driver in usage-billed SaaS.|Do not gate features behind tier upgrades if usage metering achieves the same revenue. Feature gates fight the buyer; usage metering aligns with them.,"Tier-plus-meter stack: each tier is a base subscription plus usage overages, which is a hybrid stack pattern.","Three-rung ladder with Hobby as front-end lead funnel, Pro as subscription core, Enterprise as high-ticket back-end.","Structural anchor (commercial-use boundary), not price anchor. The TOS does the work psychology would otherwise do.",Per-user base subscription plus per-resource metered usage. Revenue scales with customer success.,usage-based|commercial-use-trigger|developer-tools|metered,https://vercel.com/,https://vercel.com/pricing,2026-05-17,https://unlocksaas.com/pricing-teardown/vercel,https://unlocksaas.com/pricing-teardown/vercel/md
beehiiv,Beehiiv,Tyler Denk,Newsletter platform,Beehiiv prices on subscriber count and unlocks monetization features tier-by-tier. The ladder is the product.,"Beehiiv's pricing scales by subscriber count, with the higher tiers unlocking the ad network, paid subscriptions, referral mechanics, and the Boost monetization network. The ladder maps to creator maturity: as the newsletter grows, the operator climbs the tier ladder by need rather than by upsell pressure. The lesson: when your product can stack monetization features, the value ladder lives inside the product, not the page.","A newsletter platform with built-in monetization stack: ad network, paid subscriptions, referrals, Boost network.",Newsletter creators treating the newsletter as a business with multiple revenue streams.,Subscriber-count tiered with monetization features unlocking per tier,"Monthly or annual, with annual discount; subscriber-count tiers re-evaluated as audience grows",Free Launch tier is the structural trial. Some Scale features available on a time-limited trial during onboarding.,4,Max tier as anchor,The Max tier at the upper end of approximately $99-499/mo anchors the page for serious operators. Scale at approximately $39-99/mo reads as the reasonable creator-business tier by comparison. Launch is the entry. The anchor is doing the work of making Scale feel like the natural creator-business choice rather than the splurge.,Subscriber-count cap plus monetization need,"Two structural triggers fire together: subscriber growth past the Launch cap forces a Scale upgrade; the need to monetize via paid subscriptions or Boost network forces the same upgrade independently. The double trigger means the conversion fires reliably as creators grow, regardless of which path they take.","Subscriber-count tiering aligns the bill with creator success, which lowers commitment friction for new creators.|Monetization features unlocked per tier turn the pricing ladder into the product roadmap.|Ad network monetization on free tier (above a threshold) gives Launch users a reason to stay AND a reason to upgrade once the cap hits.|Boost network on Scale tier is a sideways acquisition channel — Scale subscribers acquire each other's audiences, paid by Beehiiv.|Round-ish tier names (Launch, Scale, Max) communicate the operator's stage rather than feature breakdown.","If your product can stack monetization features for the buyer, ladder them by tier so the pricing page IS the product roadmap.|Tier by a metric that scales with customer success (subscribers, revenue, transactions) when possible. Per-seat fails for creator products.|Use tier names that communicate stage (Launch, Scale, Max) when buyers want to identify with where they ARE in their journey.",Do not tier monetization features if your product cannot credibly monetize for the buyer. Promising monetization you cannot deliver destroys trust.|Do not use subscriber-count tiering for non-audience products. The model only works when subscriber count maps to value delivered.,Vertical stack — each tier adds monetization mechanisms the prior tier did not have.,Four-rung Value Ladder with monetization stack baked into rung progression.,Max tier as anchor; Scale as the visible creator-business choice; Launch as the entry.,"Per-subscriber-tier monthly or annual subscription; no per-seat, no usage metering.",audience-tiering|monetization-stack|creator-tools|anchor-tier,https://www.beehiiv.com/,https://www.beehiiv.com/pricing,2026-05-17,https://unlocksaas.com/pricing-teardown/beehiiv,https://unlocksaas.com/pricing-teardown/beehiiv/md
cal-com,Cal.com,Peer Richelsen and Bailey Pumfleet,Scheduling,"Cal.com prices in three tracks: free hosted, paid teams, free self-host. The split serves three different buyer types from one page.","Cal.com runs a tri-track pricing model: generous free hosted tier for individuals, per-seat paid tiers for teams, and a free self-host option under AGPL for principled buyers. Each track captures a different buyer type without forcing a choice at first contact. The lesson: when your buyer types diverge sharply, multi-track pricing serves more buyers than a single tier ladder.","Open-source scheduling platform with hosted SaaS, self-host option, and enterprise white-label.","Developers, agencies, teams who want Calendly's UX with extensibility, privacy, or principle.",Multi-track: hosted freemium + per-seat paid + free self-host,Monthly or annual per-seat for paid tiers; self-host is free in perpetuity,Free hosted tier IS the trial for individuals. Teams can trial paid features through limited preview.,5,Organizations tier as anchor,"Organizations at approximately $37-50/seat/mo anchors the page for serious teams. Teams at approximately $12-15/seat/mo reads as the affordable team tier by comparison. The anchor is doing standard work, but the unusual move is the self-host escape valve at $0 alongside paid tiers — which is a counter-anchor for the buyer who would otherwise reject SaaS on principle.",Team collaboration plus advanced workflows,"The trigger from free hosted to Teams fires when a user needs round-robin or collective scheduling, which is a structural team need. The trigger from Teams to Organizations fires when central admin (SSO, white-label) becomes a requirement, which maps to company stage. Both triggers are workflow-aligned rather than feature-gated artificially.","Multi-track pricing serves three buyer types (individual hosted, paying teams, principled self-hosters) without forcing a choice.|Self-host at $0 captures the buyer who would otherwise build it themselves, betting most will return to hosted later.|Teams tier triggered by structural collaboration need (round-robin), not arbitrary feature gates.|Organizations tier captures procurement-driven buyers who need SSO and admin without exposing pricing to competitors directly.|Free hosted is generous enough that individual users default to it, seeding the visible-customer flywheel for paid team upgrades.","If your buyer types diverge sharply (individual vs team vs principled), multi-track pricing serves more buyers than a single ladder.|Use a self-host or escape-hatch option to capture buyers who would otherwise build it themselves. The escape hatch is also a trust signal.|Trigger team-tier upgrades on structural collaboration needs (round-robin, collective availability) rather than feature gates.",Do not offer self-host if you cannot maintain the open-source project long-term. Stale repos hurt trust more than no repo at all.|Do not adopt multi-track pricing if your buyer types are not actually distinct. Most SaaS have one or two buyer types and multi-track adds confusion.,Multi-track stack: parallel hosted-paid ladder plus principled self-host track that does not slot into the ladder.,Four-rung paid ladder (Free → Teams → Organizations → Enterprise) plus self-host as off-ladder option.,Organizations tier as anchor; Teams as the visible team tier; Free hosted as entry; self-host as principled counter-anchor.,Per-seat monthly or annual for paid tiers; perpetual free for hosted free and self-host.,multi-track|open-source|self-host|per-seat,https://cal.com/,https://cal.com/pricing,2026-05-17,https://unlocksaas.com/pricing-teardown/cal-com,https://unlocksaas.com/pricing-teardown/cal-com/md
resend,Resend,Zeno Rocha and team,Email API,Resend prices on send volume with a generous free tier for indie devs. The model aligns with developer mental models.,"Resend's pricing scales by emails sent per month, with a generous free tier (3,000/mo) that covers most indie SaaS in production. Paid tiers scale linearly from there. Pricing is in round numbers (3K, 50K, 100K, etc.) that match how developers reason about send volume. The lesson: when your buyer is technical, price in their mental units, not yours.",A developer-first transactional email API with React Email integration.,Developers and indie SaaS founders sending transactional or marketing email.,Usage-based subscription priced per email-send volume,Monthly subscription tied to volume tier; auto-upgrade as volume grows,Free tier IS the trial. 3K/month is enough for real production for most indie SaaS.,4,Round-number anchor,"Volume tiers are round numbers (3K, 50K, 100K) that match how developers think about send rates. The Pro tier at $20/mo for 50K is the page's center of gravity; Scale and Enterprise anchor above. The unusual move is that the free tier is generous enough to be the trial, which keeps the pricing-page evaluation focused on volume planning rather than feature comparison.",Volume cap and dedicated-IP need,Two triggers fire together: the 3K/month free cap is the structural volume trigger; the need for a dedicated IP (deliverability concern for marketing email) drives the upgrade to Pro independently. The first trigger is mechanical; the second is intentional. Both map to genuine SaaS growth needs.,"Volume tiered in round numbers (3K, 50K, 100K) matches developer mental model and removes evaluation friction.|Free tier (3K/mo) is genuinely production-grade for indie SaaS, which builds habit before the upgrade trigger fires.|Pro tier at round $20/mo is memorable and signals confidence rather than micro-optimized comparison-shopping.|Dedicated IP available on Pro creates a behavioral upgrade trigger for marketers concerned with deliverability.|Custom Enterprise tier captures the largest deals without exposing volume pricing to enterprise competitors.","Price in the units your technical buyer already uses to reason about cost (sends, requests, GB, queries). Translation friction kills evaluation.|Use round numbers for tier thresholds. Memorable beats optimized.|Layer triggers: mechanical (volume cap) and intentional (specific feature need) so the upgrade fires reliably across buyer types.","Do not use usage-based pricing if your buyer cannot predict their usage. Bill-shock is the biggest usage-pricing churn driver.|Do not price volume tiers in awkward units (e.g. 1,234 emails). The cognitive cost of unusual units exceeds the optimization value.|Do not make the free tier so generous that indie SaaS never upgrade. The free tier must have a structural ceiling that maps to growth.",Volume stack — each tier adds send capacity and minor feature unlocks. Pricing scales linearly with use.,Four-rung ladder with free tier as front-end lead funnel and Enterprise as high-ticket back-end.,Round-number anchor mechanics; Scale tier reads as expensive next to Pro at $20/mo.,Monthly subscription scaled by volume tier; usage-based but tier-bundled to avoid bill-shock.,usage-based|volume-tiered|developer-tools|round-numbers,https://resend.com/,https://resend.com/pricing,2026-05-17,https://unlocksaas.com/pricing-teardown/resend,https://unlocksaas.com/pricing-teardown/resend/md
stripe,Stripe,Patrick and John Collison,Payments infrastructure,"Stripe's pricing is a single round percentage with no negotiation, which is itself the positioning. The simplicity converts faster than any pitch.","Stripe's headline pricing is 2.9% + 30¢ per successful charge, with no setup fees, monthly fees, or refunds-on-refunds. The published price is the price for almost every customer below enterprise scale. The lesson: when your buyer is comparing multiple complex pricing pages, the simplest legible price wins by default.","Payment processing infrastructure with subscriptions, billing, fraud prevention, payouts, and a deep API ecosystem.","Developers, indie SaaS, growing companies, and enterprises accepting payments online.",Flat per-transaction percentage plus fixed fee for standard product,"Per-transaction, no monthly base for standard product",No trial. Account is free to create; you pay only when you process payments.,3,Absent anchor,"Stripe has no anchor mechanics on standard pricing because there are no tiers to anchor between. The single published percentage is the entire pricing decision for most buyers. Add-on products (Connect, Radar, Tax) are priced separately on their own pages, so they do not crowd the main pricing decision. The absence of anchor mechanics is itself the positioning.",Volume threshold for custom pricing,The trigger fires when processing volume reaches the level where the published rate becomes meaningfully more expensive than interchange-plus could be. Most customers never hit this; Stripe captures the upgrade conversation at the scale where margin economics shift.,"Single published rate is the simplest possible pricing decision, which converts faster than any tiered alternative.|Round percentage (2.9%) is memorable and signals confidence — '2.87%' would invite comparison-shopping mental math.|No monthly base fee removes commitment friction for indie buyers evaluating against PayPal or Square.|Add-on products on their own pages prevent the main pricing from feeling cluttered, while still allowing Stripe to monetize the full product suite.|Custom enterprise pricing is gatekept behind sales conversation, which captures large deals without exposing volume discounts to competitors.|International pricing transparently published per country, building trust through specificity even when prices vary.","When your buyer is comparing multiple complex pricing pages, lead with the simplest legible price. Simplicity converts.|Round, memorable headline percentages signal confidence; odd numbers invite comparison-shopping.|Price add-on products on their own pages rather than as tiers on the main pricing surface. Pricing-page real estate is precious.","Do not adopt flat per-transaction pricing without understanding interchange costs. The math only works at certain volume bands.|Do not omit a custom tier when your business has enterprise customers. Published pricing must end where negotiation begins, with a clear handoff.|Do not assume single-line pricing works for every category. Some buyers expect tier structures and read flat pricing as lack of feature differentiation.",No stack — single rate is the entire offer. Bundling happens at the product-portfolio level (separate pricing pages for separate products).,"Single rung for standard pricing, custom rung for enterprise; add-on products form a parallel ladder of their own.",Absent anchor — the simplicity IS the anchor. The page deliberately avoids inviting comparison shopping.,Per-transaction percentage plus fixed fee; revenue scales perfectly with customer revenue.,flat-rate|transactional|simplicity|absent-anchor|developer-tools,https://stripe.com/,https://stripe.com/pricing,2026-05-17,https://unlocksaas.com/pricing-teardown/stripe,https://unlocksaas.com/pricing-teardown/stripe/md
